Strategy,Security Type,Clearing Broker,Sid,Ticker,Security Description,Start Price [N],End Price [N],End Quantity,Quantity Change,Start OTE,End OTE,Realized P&L,Total P&L,End Market Value,Manager,Legal Entity
ZZZ_NONE,Cash,MSCO,59,USD,US DOLLAR,1.,1.,"204,099,865.98",0.,0.,0.,0.,0.,"204,099,865.98",Courtney Carson,
FUNDING,Cash,GSCO,59,USD,US DOLLAR,1.,1.,"-75,597,405.81",0.,0.,0.,0.,0.,"-75,597,405.81",,
ZZZ_NONE,Cash,EXPENSE,59,USD,US DOLLAR,1.,1.,"33,078,291.09",0.,0.,0.,0.,0.,"33,078,291.09",Courtney Carson,
DISTRESSED/NP,Hedge Fund,BKDEBT,820002061,HPT_FOF HPMF,HPT Opportunity LP - HPMF,0.2311,0.2311,"88,113,273.",0.,"-14,494,975.9894","-14,494,975.9894",0.,0.,"20,359,458.0581",Courtney Carson,Hein Park Master Fund LP
DISTRESSED/NP,Hedge Fund,BKDEBT,820002062,HPT_FOF JSCC,HPT Opportunity LP - JSCC,0.2311,0.2311,"47,855,332.",0.,"-7,872,117.5769","-7,872,117.5769",0.,0.,"11,057,153.4854",Courtney Carson,JSCC Holdings LLC
ZZZ_NONE,Cash,MSCO,107,GBP,BRITISH POUND,1.,1.,"-9,109.65",0.,300.303,300.303,0.,0.,"-11,571.0774",Courtney Carson,
ZZZ_NONE,Cash,MSCO,104,EUR,EURO,1.,1.,"602,348.5",0.,"-104,183.2099","-104,183.2099",0.,0.,"656,921.2741",Courtney Carson,
SHORTS,Corporate Bond,MSCO,150744304,MGM BOND,MGM 5.75% 06/15/2025,99.1735,99.1735,"-8,000,000.",0.,"514,803.65","514,803.65",0.,"-1,277.7778","-7,933,877.6",Courtney Carson,
FUNDING,Cash,JPM,59,USD,US DOLLAR,1.,1.,"-211,299,261.35",0.,0.,0.,0.,0.,"-211,299,261.35",Courtney Carson,
POST REORG,Private Equity,PR-TSX,820001896,1849072D US,Cirque Du Soleil Holding USA Newco Inc,11.,11.,"13,089,702.",0.,"35,055,945.93","35,055,945.93",0.,0.,"143,986,722.",Courtney Carson,
ZZZ_NONE,Cash,MS-FX,107,GBP,BRITISH POUND,1.,1.,"-22,310,709.37",0.,"2,935,977.2704","2,935,977.2704",0.,0.,"-28,339,063.0418",Cash,
ZZZ_NONE,Cash,MS-FX,59,USD,US DOLLAR,1.,1.,"31,898,628.59",0.,0.,0.,0.,0.,"31,898,628.59",,
SHORTS,Corporate Bond,MSCO,148532230,AXL BOND,AXL 6.25% 03/15/2026,97.4347,97.4347,"-2,481,000.",0.,"141,157.0873","141,157.0873",0.,-430.7292,"-2,417,354.1627",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,GSCO,160573890,AAL BOND,AAL A 3.5% 02/15/2032,83.0168,83.0168,"3,000,000.",0.,"-678,037.8976","-678,037.8976",0.,236.2914,"2,017,662.6122",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,GSCO,144569616,AAL BOND,AAL B 3.7% 10/15/2025,94.366,94.366,"23,234,000.",0.,"-4,279,669.4248","-4,279,669.4248",0.,"1,180.7617","10,841,225.2108",Courtney Carson,
FUNDING,Cash,GS-OTC,59,USD,US DOLLAR,1.,1.,"-16,259,740.45",0.,0.,0.,0.,0.,"-16,259,740.45",Courtney Carson,
FUNDING,Cash,PR-TSX,59,USD,US DOLLAR,1.,1.,"-118,131,901.98",0.,0.,0.,0.,0.,"-118,131,901.98",Courtney Carson,
ZZZ_NONE,Cash,MS-EQS,59,USD,US DOLLAR,1.,1.,"70,467.23",0.,0.,0.,0.,0.,"70,467.23",Courtney Carson,
ZZZ_NONE,Cash,MS-CCP,59,USD,US DOLLAR,1.,1.,"100,966,970.21",0.,0.,0.,0.,0.,"100,966,970.21",Courtney Carson,
ZZZ_NONE,Cash,JPM,59,USD,US DOLLAR,1.,1.,"99,078,319.18",0.,0.,0.,0.,0.,"99,078,319.18",Courtney Carson,
ZZZ_NONE,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"453,700,628.71",0.,0.,0.,0.,0.,"453,700,628.71",Courtney Carson,
ZZZ_NONE,Cash,GS-COLL-OTC,59,USD,US DOLLAR,1.,1.,"5,635,250.99",0.,0.,0.,0.,0.,"5,635,250.99",Courtney Carson,
CORE,Corporate Bond,MSCO,187279240,DSPORT BOND,DSPORT 144a 5.375% 08/15/2026,3.1505,3.1505,"138,609,000.",0.,"-55,770,648.6489","-55,770,648.6489",0.,0.,"4,366,836.3484",Courtney Carson,
FUNDING,Cash,MS-CCP,59,USD,US DOLLAR,1.,1.,"-34,886,348.94",0.,0.,0.,0.,0.,"-34,886,348.94",Courtney Carson,
ZZZ_NONE,Cash,GSCO,59,USD,US DOLLAR,1.,1.,"125,728,744.87",0.,0.,0.,0.,0.,"125,728,744.87",,
STRESSED CREDIT_CORE,Corporate Bond,MSCO,136345345,AAL BOND,AAL 3.25% 10/15/2028,85.5416,85.5416,"20,594,000.",0.,"-2,111,816.2448","-2,111,816.2448",0.,"1,295.4139","12,274,535.2079",Courtney Carson,
ZZZ_NONE,Cash,MS-CCP,104,EUR,EURO,1.,1.,"-539,628.51",0.,"-40,043.1429","-40,043.1429",0.,0.,"-588,518.853",Courtney Carson,
CORE,Corporate Bond,JPM,173742616,AFFGAM BOND,AFFGAM 144A 6.875% 12/15/2027,89.813,89.813,"18,260,000.",0.,"629,689.75","629,689.75",0.,"3,487.1528","16,399,853.8",Courtney Carson,
CORE,Corporate Bond,MSCO,171194581,CNR BOND,CNR 144A 6.125% 01/15/2029,82.773,82.773,"-15,000,000.",0.,"-1,270,950.","-1,270,950.",0.,"-2,552.0833","-12,415,950.",Courtney Carson,
FUNDING,Cash,ZZ-INTRN,59,USD,US DOLLAR,1.,1.,"-1,871,662.16",0.,0.,0.,0.,0.,"-1,871,662.16",,
STRESSED CREDIT_CORE,Corporate Bond,MSCO,130968412,AAL BOND,AAL B 5.25% 01/15/2024,98.6246,98.6246,"12,058,000.",0.,"-328,929.2581","-328,929.2581",0.,754.0227,"5,099,324.4216",Courtney Carson,
ZZZ_NONE,Cash,GS-OTC,59,USD,US DOLLAR,1.,1.,"11,156,707.77",0.,0.,0.,0.,0.,"11,156,707.77",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,MSCO,160185847,DSPORT BOND,DSPORT 144A 6.625% 08/15/2027,2.4085,2.4085,"164,235,000.",0.,"-59,671,897.6709","-59,671,897.6709",0.,0.,"3,955,609.8291",Courtney Carson,
FUNDING,Cash,MS-TRS,59,USD,US DOLLAR,1.,1.,"-340,770.74",0.,0.,0.,0.,0.,"-340,770.74",Courtney Carson,
ZZZ_NONE,Cash,JP-OTC,59,USD,US DOLLAR,1.,1.,"625,691.54",0.,0.,0.,0.,0.,"625,691.54",Courtney Carson,
ZZZ_NONE,Credit Default Swap - Cleared,ZZ-INTRN,140004391,IBM CDS,IBM 1.625 15May20 CDS 1.00% [03/20/2022] SNRFOR XR14 - ICE,-0.125,-0.125,"-5,000,000.",0.,0.,0.,0.,-138.8889,"6,250.",Courtney Carson,Test Legal Entity
FUNDING,Cash,GSCO,107,GBP,BRITISH POUND,1.,1.,"8,003,865.29",0.,"-545,920.0368","-545,920.0368",0.,0.,"10,166,509.6914",Courtney Carson,Hein Park Co-Investment 2020-1 LP
FUNDING,Cash,MSCO,107,GBP,BRITISH POUND,1.,1.,"22,319,819.02",0.,"-1,486,100.8721","-1,486,100.8721",0.,0.,"28,350,634.1192",Courtney Carson,
SHORTS,Corporate Bond,MSCO,172446204,ACALTD BOND,ACALTD 144A 6% 11/15/2027,96.3547,96.3547,"-4,524,000.",0.,"351,308.0888","351,308.0888",0.,-754.,"-4,359,084.4112",Courtney Carson,
POST REORG,Equity Warrant,PR-TSX,820002063,.CIRQUEW US,Cirque Warrant 9.05 11/24/25,2.9375,2.9375,"3,803,904.",0.,"1,972,842.1","1,972,842.1",0.,0.,"11,173,968.",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,JPM,160573267,AAL BOND,AAL B 3.85% 02/15/2028,86.8898,86.8898,"18,564,000.",0.,"-4,736,732.8462","-4,736,732.8462",0.,"1,323.4653","10,752,837.3845",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,GSCO,128493969,AAL BOND,AAL A 4% 09/22/2027,89.9815,89.9815,"38,681,000.",0.,"-4,181,998.7669","-4,181,998.7669",0.,"2,872.7274","23,264,308.8251",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,GSCO,144450912,AAL BOND,AAL 3.75% 10/15/2025,91.8256,91.8256,"4,688,000.",0.,"-879,912.9942","-879,912.9942",0.,250.95,"2,212,189.2043",Courtney Carson,
ZZZ_NONE,Cash,LOAN TO INV,59,USD,US DOLLAR,1.,1.,"23,048,238.54",0.,0.,0.,0.,0.,"23,048,238.54",Courtney Carson,JSCC Holdings LLC
FUNDING,Cash,MSCO,104,EUR,EURO,1.,1.,"3,040,553.39",0.,"-284,295.7673","-284,295.7673",0.,0.,"3,316,027.5271",Courtney Carson,
SHORTS,Credit Default Swap - OTC,MS-CCP,820002048,AMERAIAI CDS,AAL CDS 5.00% 12/20/2023 SNRFOR XR14,0.9951,0.9951,"-32,120,000.",0.,"-2,222,546.985","-2,222,546.985",0.,"-4,461.1111","-319,611.985",Courtney Carson,
PERFORMING CREDIT_TRADING,Corporate Bond,JPM,182635112,FYBR BOND,FYBR 144A 6% 01/15/2030,73.583,73.583,"12,000,000.",0.,"-2,630,039.88","-2,630,039.88",0.,"2,000.","8,829,960.12",Courtney Carson,
ZZZ_NONE,Equity,GSCO,165973403,FTIXX,GOLDMAN SACH FIN SQ TR IN-IN,5.1109,5.1109,"13,247,975.4",0.,"54,461,102.0719","54,461,102.0719",0.,0.,"67,709,077.4719",Courtney Carson,
ZZZ_NONE,Equity,JPM,820001901,JTSXX,JPMORGAN 100% US TREASU-L,5.1021,5.1021,"105,364,586.34",0.,"432,216,069.6253","432,216,069.6253",0.,0.,"537,580,655.9653",Courtney Carson,
ZZZ_NONE,Equity,MSCO,820001899,MSUXX,MSILF Treasury Securities Portfolio - Inst Class,5.1582,5.1582,"66,905,908.9",0.,"278,208,150.388","278,208,150.388",0.,0.,"345,114,059.288",Courtney Carson,
CORE,Corporate Bond,MSCO,177258642,MIK BOND,MIK 144A 5.25% 05/01/2028,83.2264,83.2264,"-15,000,000.",0.,"-191,456.85","-191,456.85",0.,"-2,187.5","-12,483,956.85",Courtney Carson,
TRADING,Government Bond,MSCO,192656080,B BOND,B 0% 08/10/2023,99.7707,99.7707,"94,100,000.",0.,"392,425.27","392,425.27",0.,0.,"93,884,197.647",Courtney Carson,
TRADING,Government Bond,MSCO,201822117,B BOND,B 0% 09/05/2023,99.3903,99.3903,"93,700,000.",0.,"144,629.698","144,629.698",0.,0.,"93,128,683.927",Courtney Carson,
CORE_HPMF,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"26,009,368.33",0.,0.,0.,0.,0.,"26,009,368.33",Courtney Carson,Hein Park Lending Partners LP
CORE_HPLENDGP,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"48,416.71",0.,0.,0.,0.,0.,"48,416.71",Courtney Carson,Hein Park Lending Partners LP
CORE_HPMF,Cash,FRB,59,USD,US DOLLAR,1.,1.,"904,276.01",0.,0.,0.,0.,0.,"904,276.01",Courtney Carson,Hein Park Lending Partners LP
CORE_HPLENDGP,Cash,FRB,59,USD,US DOLLAR,1.,1.,"1,683.29",0.,0.,0.,0.,0.,"1,683.29",Courtney Carson,Hein Park Lending Partners LP
SHORTS,Corporate Bond,MSCO,156895449,OMF BOND,OMF 6.125% 03/15/2024,99.8142,99.8142,"-1,750,000.",0.,"79,570.8","79,570.8",0.,-297.7431,"-1,746,749.2",Courtney Carson,
FUNDING,Cash,JP-OTC,59,USD,US DOLLAR,1.,1.,"-625,691.54",0.,0.,0.,0.,0.,"-625,691.54",Courtney Carson,
DISTRESSED/NP_HPMF,Private Equity,PR-AST,820002065,BLKIA,BLKIA,22.5,22.5,"8,088.",0.,"181,980.","181,980.",0.,0.,"181,980.",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_JSCC,Private Equity,PR-AST,820002065,BLKIA,BLKIA,22.5,22.5,"4,393.",0.,"98,842.5","98,842.5",0.,0.,"98,842.5",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_TG,Private Equity,PR-AST,820002065,BLKIA,BLKIA,22.5,22.5,"1,387.",0.,"31,207.5","31,207.5",0.,0.,"31,207.5",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP,Private Equity,PR-AST,820002065,BLKIA,BLKIA,22.5,22.5,"26,495.",0.,"-71,524.","-71,524.",0.,0.,"596,137.5",Courtney Carson,
FUNDING,Cash,PR-AST,59,USD,US DOLLAR,1.,1.,"-667,661.5",0.,0.,0.,0.,0.,"-667,661.5",Courtney Carson,
FUNDING,Cash,MS-CCP,104,EUR,EURO,1.,1.,"1,077,036.5",0.,"-26,073.5536","-26,073.5536",0.,0.,"1,174,616.0069",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002105,UAL CDS,UAL CDS 5.00% 12/20/2023 SNRFOR XR14,1.586,1.586,"-35,000,000.",0.,"-805,107.8679","-805,107.8679",0.,"-4,861.1111","-555,107.8679",Courtney Carson,
CORE,Credit Default Swap - OTC,MS-CCP,820002110,UAL CDS,UAL CDS 5.00% 06/20/2024 SNRFOR XR14,3.4671,3.4671,"-13,000,000.",0.,"-650,761.9965","-650,761.9965",0.,"-1,805.5556","-450,728.2465",Courtney Carson,
ZZZ_NONE,Cash,PRVT,59,USD,US DOLLAR,1.,1.,"47,784,803.48",0.,0.,0.,0.,0.,"47,784,803.48",Courtney Carson,
CORE,Corporate Bond,JPM,173016794,FYBR BOND,FYBR 144A 6.75% 05/01/2029,76.9083,76.9083,"7,800,000.",0.,"-608,760.26","-608,760.26",0.,"1,462.5","5,998,849.74",Courtney Carson,
CORE,Corporate Bond,JPM,167011304,GFF BOND,GFF 5.75% 03/01/2028,94.4126,94.4126,"-10,000,000.",0.,"-106,255.","-106,255.",0.,"-1,597.2222","-9,441,255.",Courtney Carson,
SHORTS,Corporate Bond,JPM,172446204,ACALTD BOND,ACALTD 144A 6% 11/15/2027,96.3547,96.3547,"-9,000,000.",0.,"-364,418.59","-364,418.59",0.,"-1,500.","-8,671,918.59",Courtney Carson,
CORE,Corporate Bond,GSCO,182867547,GLT BOND,GLT 144A 4.75% 11/15/2029,70.185,70.185,"26,748,000.",0.,"1,097,662.55","1,097,662.55",0.,"3,529.25","18,773,083.8",Courtney Carson,
CORE,Corporate Bond,MSCO,171250148,RADIAT BOND,RADIAT 144A 4.5% 09/15/2026,82.7997,82.7997,"-35,000,000.",0.,"-1,927,388.","-1,927,388.",0.,"-4,375.","-28,979,888.",Courtney Carson,
STRESSED CREDIT_CORE,Corporate Bond,JPM,176392157,CBSR BOND,CBSR 144A 6.75% 03/31/2029,1.8815,1.8815,"49,189,000.",0.,"-5,084,593.965","-5,084,593.965",0.,0.,"925,491.035",Courtney Carson,
SHORTS,Corporate Bond,MSCO,157673747,MGM BOND,MGM 5.5% 04/15/2027,96.7173,96.7173,"-2,548,000.",0.,"16,183.4508","16,183.4508",0.,-389.2778,"-2,464,356.5492",Courtney Carson,
FUNDING,Cash,FRB,59,USD,US DOLLAR,1.,1.,59.18,0.,0.,0.,0.,0.,59.18,Courtney Carson,
NONE,FX,MSCO,10521,GBP,GBP-USD X-RATE,,,"-22,500,000.",0.,0.,0.,0.,0.,"-28,848,352.5",Courtney Carson,Test Legal Entity
CORE,Corporate Bond,GSCO,183854088,CP BOND,CP 3% 12/02/2041,80.9972,80.9972,"30,643,000.",0.,"-665,369.4869","-665,369.4869",0.,"2,553.5833","24,819,958.5131",Courtney Carson,
ZZZ_NONE,Cash,JPM,104,EUR,EURO,1.,1.,"2,214.19",0.,"121,188.6766","121,188.6766",0.,0.,"2,414.7956",Courtney Carson,
